duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id
,2.0,TV Show,Derry Girls,8/2/2019,2019.0,TV-MA,"Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager.",80238565.0
104.0,,Movie,Perdida,8/9/2018,2018.0,TV-MA,"A policewoman whose childhood friend disappeared in Patagonia years ago starts a new search to find answers, and soon finds her own life in danger.",80245357.0
,1.0,TV Show,The Princess Weiyoung,5/10/2019,2016.0,TV-14,A princess descended from a ruined noble family disguises herself as the woman who saved her life and embarks on a mission to avenge her loved ones.,80987113.0
112.0,,Movie,District 9,11/4/2019,2009.0,R,"After years of segregation and forced labor, a race of stranded aliens enlists in a resistance movement spearheaded by a rogue government agent.",70113005.0
93.0,,Movie,The Perfect Day,9/1/2018,2018.0,TV-14,"French soccer fans, celebrities and athletes retrace the exhilarating events of July 12, 1998, as France earned a historic win in the World Cup final.",80999945.0
,2.0,TV Show,Samantha!,4/19/2019,2019.0,TV-MA,"A child star in the '80s, Samantha clings to the fringes of celebrity with hilarious harebrained schemes to launch herself back into the spotlight.",80173174.0
,1.0,TV Show,"Sex, Explained",1/2/2020,2020.0,TV-MA,"From the biology of attraction to the history of birth control, explore the ins and outs of sex in this entertaining and enlightening series.",81160763.0
102.0,,Movie,Lucid Dream,6/2/2017,2017.0,TV-MA,"After searching for his abducted son for three years, a devastated father attempts to track down his missing child through lucid dreams.",80158750.0
130.0,,Movie,Ishqedarriyaan,3/1/2018,2015.0,TV-14,A young millionaire is willing to do anything to make the schoolteacher he loves happy. Even if it means helping her marry someone else.,80223227.0
98.0,,Movie,Coin Heist,1/6/2017,2017.0,TV-14,"When a crisis threatens to destroy their high school, four teens hatch a daring plan to raise $10 million. Step one? Breaking into the U.S. Mint.",80097725.0
168.0,,Movie,The Hateful Eight,10/25/2017,2015.0,R,"Years after the Civil War, a bounty hunter and his captive are waylaid by a Wyoming blizzard and hole up in a way station with six dicey strangers.",80064515.0
162.0,,Movie,Dum,3/1/2018,2003.0,TV-14,"When one of his colleagues becomes corrupted by power and goes over to the dark side, a young police officer tries to bring the offender to justice.",60036617.0
,4.0,TV Show,Beauty & the Beast,9/19/2016,2016.0,TV-14,A homicide detective and a veteran who has been turned into a beast by a military experiment gone awry become allies after they meet by chance.,70242079.0
,1.0,TV Show,Mr. Iglesias,6/21/2019,2019.0,TV-14,Hilarious high school teacher Gabriel Iglesias tries to make a difference in the lives of some smart but underperforming students at his alma mater.,80209013.0
,1.0,TV Show,Kiss The Series,5/26/2019,2016.0,TV-14,"After a night out, Sandee wakes to discover she and her buddy have either taken their platonic friendship to a whole new level or ruined it forever.",80993756.0
,1.0,TV Show,Maradona in Mexico,11/13/2019,2020.0,TV-MA,"In this docuseries, soccer great Diego Maradona comes to Culiacán, the heart of the Sinaloa Cartel, to save the local team, the Dorados, and maybe himself, too.",81034946.0
,1.0,TV Show,Sword Art Online Alternative: Gun Gale Online,2/1/2019,2018.0,TV-14,College student Karen takes up Gun Gale Online and gets a reputation as the Pink Demon. Then her gaming buddy Pitohui asks her to join the Squad Jam.,80990612.0
111.0,,Movie,Lady J,3/8/2019,2019.0,TV-14,"When her romance with a lustful marquis takes an unwelcome turn, a wealthy widow concocts a scheme to get revenge – with help from a younger woman.",81024044.0
94.0,,Movie,Swiped,7/1/2019,2018.0,TV-14,"When two college roommates develop a groundbreaking hookup app, casual affairs – and complications – soon run rampant on campus.",81060038.0
,3.0,TV Show,The Deep,11/1/2019,2019.0,TV-Y7,"The Nektons are a family of underwater explorers who discover the hidden secrets of the oceans, including sunken cities, sea creatures and pirates.",80101401.0
151.0,,Movie,Encounter: The Killing,12/31/2019,2002.0,TV-14,"After accidentally killing a young mobster, a guilt-stricken police officer searches for the parents who never came forward to claim their son's body.",70006866.0
77.0,,Movie,Marvel & ESPN Films Present: 1 of 1: Genesis,3/15/2015,2014.0,TV-PG,"This documentary explores the connections between elite athletes and Marvel superheroes such as Spider Man, Black Widow and Captain America.",80023794.0
,1.0,TV Show,Dennis and Gnasher Unleashed,5/15/2019,2017.0,TV-Y7,"Fearless Dennis, his loyal dog Gnasher and best friends Rubi, JJ and Pieface quench their thirst for adventure by wreaking havoc all over Beanotown.",81112772.0
100.0,,Movie,All the Devil's Men,5/15/2019,2018.0,R,A battle-scarred Special Ops military vet joins a CIA-funded assignment to take down a Russian terrorist and his trigger-happy comrades.,80220311.0
